Date,Open,High,Low,Close,Volume
2001-01-29,95.8,98.0,94.7,95.35,1909389
2001-01-30,95.8,97.5,92.75,93.95,2669081
2001-01-31,93.2,93.2,89.5,90.55,1740978
2001-02-01,90.25,91.7,89.8,90.3,1129967
2001-02-04,90.45,97.55,90.05,96.8,4063871
2001-02-05,97.9,104.5,97.9,102.55,4191574
2001-02-06,106.4,108.9,104.05,104.8,6343300
2001-02-07,104.0,107.45,102.25,105.9,3671280
2001-02-08,106.25,107.9,102.55,105.2,4758224
2001-02-11,106.7,106.7,97.05,98.95,3326635
2001-02-12,99.7,100.9,96.1,98.25,2992138
2001-02-13,101.0,101.0,101.0,101.0,150
2001-02-13,98.0,101.8,97.55,100.55,3077485
2001-02-14,101.4,105.7,101.4,104.5,4922166
2001-02-15,104.7,112.25,104.7,108.5,11132272
2001-02-18,109.85,113.7,108.1,112.1,4959896
2001-02-19,112.0,113.65,109.05,109.6,4039928
2001-02-20,111.0,111.0,105.1,105.85,2569485
2001-02-21,105.1,107.75,102.0,102.85,2206476
2001-02-22,103.5,106.4,94.65,95.0,4411006
2001-02-25,95.0,99.4,92.6,97.75,3421637
2001-02-26,98.6,101.75,94.6,98.25,3832684
2001-02-27,99.4,106.15,96.5,102.9,6337603
2001-02-28,106.0,109.8,102.0,106.2,4887609
2001-03-01,108.2,109.0,94.6,95.8,3576269
2001-03-04,96.5,97.95,91.1,92.0,2968960
2001-03-06,94.4,96.0,88.5,92.2,1387412
2001-03-07,93.0,94.5,91.7,92.3,1125870
2001-03-08,91.0,91.0,77.55,78.5,2566995
2001-03-11,79.85,80.5,73.6,74.45,1302656
2001-03-12,73.1,74.25,63.25,67.45,1840006
2001-03-13,69.0,76.5,68.0,74.55,1050755
2001-03-14,73.5,77.0,71.25,76.05,901181
2001-03-15,75.0,75.0,75.0,75.0,2500
2001-03-15,75.0,79.6,71.3,73.05,1184255
2001-03-18,74.0,75.45,72.6,74.85,690653
2001-03-19,75.5,76.0,72.3,73.15,800155
2001-03-20,73.1,74.25,71.55,73.95,504880
2001-03-21,73.5,75.0,70.0,70.6,536673
2001-03-22,71.5,72.0,66.85,68.2,1271875
2001-03-25,68.7,69.7,66.5,67.2,468439
2001-03-26,68.0,69.5,67.5,68.9,841786
2001-03-27,71.7,71.9,69.75,69.95,985975
2001-03-28,70.0,71.4,68.6,69.35,661350
2001-03-29,69.95,70.2,64.75,65.3,841040
2001-04-01,64.55,64.55,60.1,61.0,785824
2001-04-02,60.5,61.9,57.55,58.8,1459765
2001-04-03,58.0,62.25,58.0,61.65,1646020
2001-04-05,62.0,65.0,62.0,64.35,1474308
2001-04-08,64.75,66.8,63.6,65.95,969874
2001-04-09,66.3,67.5,63.55,64.15,871674
2001-04-10,66.4,67.0,62.9,63.3,720063
2001-04-11,63.0,64.45,60.0,63.05,897835
2001-04-15,63.0,64.9,62.45,63.0,678430
2001-04-16,63.0,68.0,61.85,65.75,1453723
2001-04-17,67.7,71.05,67.0,69.1,2193032
2001-04-18,70.5,72.95,68.1,69.1,1512577
2001-04-19,69.25,69.5,66.3,66.75,637897
2001-04-22,66.5,69.5,63.0,68.6,740175
2001-04-23,68.0,72.9,67.75,72.4,1941244
2001-04-24,73.0,75.2,72.0,74.1,1531560
2001-04-25,74.7,77.9,74.5,75.15,1569063
2001-04-26,74.85,74.85,69.15,71.8,1566314
2001-04-29,73.0,77.0,71.1,75.6,910263
2001-05-01,77.0,77.8,74.15,74.75,607787
2001-05-02,74.5,75.15,72.5,72.9,246167
2001-05-03,73.5,75.5,73.25,74.5,419780
2001-05-06,75.0,75.9,73.1,73.45,304232
2001-05-07,74.0,75.5,73.1,74.85,599833
2001-05-08,76.5,77.9,75.1,76.25,1275801
